# girsa-ref lexicon. GENERATED by girsa-corpus/examples/build-lexicon.rs
# from Sefaria's schemas. Do not hand-edit — regenerate.
# variant	slug	he-title	en-title
'זוה”ק	zohar	ספר הזהר	Zohar
Annotations of Minchat Chinukh on Mishneh Torah, Damages to Property	annotations-of-minchat-chinukh-on-mishneh-torah/damages-to-property	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות נזקי ממון	Annotations of Minchat Chinukh on Mishneh Torah, Damages to Property
Annotations of Minchat Chinukh on Mishneh Torah, Defilement by Leprosy	annotations-of-minchat-chinukh-on-mishneh-torah/defilement-by-leprosy	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות טומאת צרעת	Annotations of Minchat Chinukh on Mishneh Torah, Defilement by Leprosy
Annotations of Minchat Chinukh on Mishneh Torah, Diverse Species	annotations-of-minchat-chinukh-on-mishneh-torah/diverse-species	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות כלאים	Annotations of Minchat Chinukh on Mishneh Torah, Diverse Species
Annotations of Minchat Chinukh on Mishneh Torah, Fasts	annotations-of-minchat-chinukh-on-mishneh-torah/fasts	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תעניות	Annotations of Minchat Chinukh on Mishneh Torah, Fasts
Annotations of Minchat Chinukh on Mishneh Torah, Festival Offering	annotations-of-minchat-chinukh-on-mishneh-torah/festival-offering	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות חגיגה	Annotations of Minchat Chinukh on Mishneh Torah, Festival Offering
Annotations of Minchat Chinukh on Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary	annotations-of-minchat-chinukh-on-mishneh-torah/first-fruits-and-other-gifts-to-priests-outside-the-sanctuary	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין	Annotations of Minchat Chinukh on Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary
Annotations of Minchat Chinukh on Mishneh Torah, Firstlings	annotations-of-minchat-chinukh-on-mishneh-torah/firstlings	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות בכורות	Annotations of Minchat Chinukh on Mishneh Torah, Firstlings
Annotations of Minchat Chinukh on Mishneh Torah, Forbidden Foods	annotations-of-minchat-chinukh-on-mishneh-torah/forbidden-foods	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מאכלות אסורות	Annotations of Minchat Chinukh on Mishneh Torah, Forbidden Foods
Annotations of Minchat Chinukh on Mishneh Torah, Forbidden Intercourse	annotations-of-minchat-chinukh-on-mishneh-torah/forbidden-intercourse	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות איסורי ביאה	Annotations of Minchat Chinukh on Mishneh Torah, Forbidden Intercourse
Annotations of Minchat Chinukh on Mishneh Torah, Foreign Worship and Customs of the Nations	annotations-of-minchat-chinukh-on-mishneh-torah/foreign-worship-and-customs-of-the-nations	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות עבודה זרה וחוקות הגויים	Annotations of Minchat Chinukh on Mishneh Torah, Foreign Worship and Customs of the Nations
Annotations of Minchat Chinukh on Mishneh Torah, Fringes	annotations-of-minchat-chinukh-on-mishneh-torah/fringes	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות ציצית	Annotations of Minchat Chinukh on Mishneh Torah, Fringes
Annotations of Minchat Chinukh on Mishneh Torah, Gifts to the Poor	annotations-of-minchat-chinukh-on-mishneh-torah/gifts-to-the-poor	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מתנות עניים	Annotations of Minchat Chinukh on Mishneh Torah, Gifts to the Poor
Annotations of Minchat Chinukh on Mishneh Torah, Heave Offerings	annotations-of-minchat-chinukh-on-mishneh-torah/heave-offerings	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תרומות	Annotations of Minchat Chinukh on Mishneh Torah, Heave Offerings
Annotations of Minchat Chinukh on Mishneh Torah, Human Dispositions	annotations-of-minchat-chinukh-on-mishneh-torah/human-dispositions	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות דעות	Annotations of Minchat Chinukh on Mishneh Torah, Human Dispositions
Annotations of Minchat Chinukh on Mishneh Torah, Kings and Wars	annotations-of-minchat-chinukh-on-mishneh-torah/kings-and-wars	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מלכים ומלחמות	Annotations of Minchat Chinukh on Mishneh Torah, Kings and Wars
Annotations of Minchat Chinukh on Mishneh Torah, Leavened and Unleavened Bread	annotations-of-minchat-chinukh-on-mishneh-torah/leavened-and-unleavened-bread	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות חמץ ומצה	Annotations of Minchat Chinukh on Mishneh Torah, Leavened and Unleavened Bread
Annotations of Minchat Chinukh on Mishneh Torah, Marriage	annotations-of-minchat-chinukh-on-mishneh-torah/marriage	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות אישות	Annotations of Minchat Chinukh on Mishneh Torah, Marriage
Annotations of Minchat Chinukh on Mishneh Torah, Mourning	annotations-of-minchat-chinukh-on-mishneh-torah/mourning	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות אבל	Annotations of Minchat Chinukh on Mishneh Torah, Mourning
Annotations of Minchat Chinukh on Mishneh Torah, Murderer and the Preservation of Life	annotations-of-minchat-chinukh-on-mishneh-torah/murderer-and-the-preservation-of-life	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות רוצח ושמירת נפש	Annotations of Minchat Chinukh on Mishneh Torah, Murderer and the Preservation of Life
Annotations of Minchat Chinukh on Mishneh Torah, Nazariteship	annotations-of-minchat-chinukh-on-mishneh-torah/nazariteship	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות נזירות	Annotations of Minchat Chinukh on Mishneh Torah, Nazariteship
Annotations of Minchat Chinukh on Mishneh Torah, Oaths	annotations-of-minchat-chinukh-on-mishneh-torah/oaths	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שבועות	Annotations of Minchat Chinukh on Mishneh Torah, Oaths
Annotations of Minchat Chinukh on Mishneh Torah, Offerings for Those with Incomplete Atonement	annotations-of-minchat-chinukh-on-mishneh-torah/offerings-for-those-with-incomplete-atonement	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מחוסרי כפרה	Annotations of Minchat Chinukh on Mishneh Torah, Offerings for Those with Incomplete Atonement
Annotations of Minchat Chinukh on Mishneh Torah, Other Sources of Defilement	annotations-of-minchat-chinukh-on-mishneh-torah/other-sources-of-defilement	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שאר אבות הטומאות	Annotations of Minchat Chinukh on Mishneh Torah, Other Sources of Defilement
Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering	annotations-of-minchat-chinukh-on-mishneh-torah/paschal-offering	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות קרבן פסח	Annotations of Minchat Chinukh on Mishneh Torah, Paschal Offering
Annotations of Minchat Chinukh on Mishneh Torah, Prayer and the Priestly Blessing	annotations-of-minchat-chinukh-on-mishneh-torah/prayer-and-the-priestly-blessing	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תפילה וברכת כהנים	Annotations of Minchat Chinukh on Mishneh Torah, Prayer and the Priestly Blessing
Annotations of Minchat Chinukh on Mishneh Torah, Reading the Shema	annotations-of-minchat-chinukh-on-mishneh-torah/reading-the-shema	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות קריאת שמע	Annotations of Minchat Chinukh on Mishneh Torah, Reading the Shema
Annotations of Minchat Chinukh on Mishneh Torah, Red Heifer	annotations-of-minchat-chinukh-on-mishneh-torah/red-heifer	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות פרה אדומה	Annotations of Minchat Chinukh on Mishneh Torah, Red Heifer
Annotations of Minchat Chinukh on Mishneh Torah, Ritual Slaughter	annotations-of-minchat-chinukh-on-mishneh-torah/ritual-slaughter	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שחיטה	Annotations of Minchat Chinukh on Mishneh Torah, Ritual Slaughter
Annotations of Minchat Chinukh on Mishneh Torah, Sabbath	annotations-of-minchat-chinukh-on-mishneh-torah/sabbath	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שבת	Annotations of Minchat Chinukh on Mishneh Torah, Sabbath
Annotations of Minchat Chinukh on Mishneh Torah, Sabbatical Year and the Jubilee	annotations-of-minchat-chinukh-on-mishneh-torah/sabbatical-year-and-the-jubilee	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שמיטה ויובל	Annotations of Minchat Chinukh on Mishneh Torah, Sabbatical Year and the Jubilee
Annotations of Minchat Chinukh on Mishneh Torah, Sacrifices Rendered Unfit	annotations-of-minchat-chinukh-on-mishneh-torah/sacrifices-rendered-unfit	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות פסולי המוקדשין	Annotations of Minchat Chinukh on Mishneh Torah, Sacrifices Rendered Unfit
Annotations of Minchat Chinukh on Mishneh Torah, Sacrificial Procedure	annotations-of-minchat-chinukh-on-mishneh-torah/sacrificial-procedure	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מעשה הקרבנות	Annotations of Minchat Chinukh on Mishneh Torah, Sacrificial Procedure
Annotations of Minchat Chinukh on Mishneh Torah, Sales	annotations-of-minchat-chinukh-on-mishneh-torah/sales	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מכירה	Annotations of Minchat Chinukh on Mishneh Torah, Sales
Annotations of Minchat Chinukh on Mishneh Torah, Sanctification of the New Month	annotations-of-minchat-chinukh-on-mishneh-torah/sanctification-of-the-new-month	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות קידוש החודש	Annotations of Minchat Chinukh on Mishneh Torah, Sanctification of the New Month
Annotations of Minchat Chinukh on Mishneh Torah, Scroll of Esther and Hanukkah	annotations-of-minchat-chinukh-on-mishneh-torah/scroll-of-esther-and-hanukkah	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מגילה וחנוכה	Annotations of Minchat Chinukh on Mishneh Torah, Scroll of Esther and Hanukkah
Annotations of Minchat Chinukh on Mishneh Torah, Second Tithes and Fourth Year's Fruit	annotations-of-minchat-chinukh-on-mishneh-torah/second-tithes-and-fourth-years-fruit	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מעשר שני ונטע רבעי	Annotations of Minchat Chinukh on Mishneh Torah, Second Tithes and Fourth Year's Fruit
Annotations of Minchat Chinukh on Mishneh Torah, Service on the Day of Atonement	annotations-of-minchat-chinukh-on-mishneh-torah/service-on-the-day-of-atonement	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות עבודת יום הכפורים	Annotations of Minchat Chinukh on Mishneh Torah, Service on the Day of Atonement
Annotations of Minchat Chinukh on Mishneh Torah, Sheqel Dues	annotations-of-minchat-chinukh-on-mishneh-torah/sheqel-dues	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שקלים	Annotations of Minchat Chinukh on Mishneh Torah, Sheqel Dues
Annotations of Minchat Chinukh on Mishneh Torah, Shofar, Sukkah and Lulav	annotations-of-minchat-chinukh-on-mishneh-torah/shofar/sukkah-and-lulav	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות שופר וסוכה ולולב	Annotations of Minchat Chinukh on Mishneh Torah, Shofar, Sukkah and Lulav
Annotations of Minchat Chinukh on Mishneh Torah, Slaves	annotations-of-minchat-chinukh-on-mishneh-torah/slaves	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות עבדים	Annotations of Minchat Chinukh on Mishneh Torah, Slaves
Annotations of Minchat Chinukh on Mishneh Torah, Substitution	annotations-of-minchat-chinukh-on-mishneh-torah/substitution	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תמורה	Annotations of Minchat Chinukh on Mishneh Torah, Substitution
Annotations of Minchat Chinukh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll	annotations-of-minchat-chinukh-on-mishneh-torah/tefillin/mezuzah-and-the-torah-scroll	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תפילין ומזוזה וספר תורה	Annotations of Minchat Chinukh on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll
Annotations of Minchat Chinukh on Mishneh Torah, Testimony	annotations-of-minchat-chinukh-on-mishneh-torah/testimony	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות עדות	Annotations of Minchat Chinukh on Mishneh Torah, Testimony
Annotations of Minchat Chinukh on Mishneh Torah, The Chosen Temple	annotations-of-minchat-chinukh-on-mishneh-torah/the-chosen-temple	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות בית הבחירה	Annotations of Minchat Chinukh on Mishneh Torah, The Chosen Temple
Annotations of Minchat Chinukh on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction	annotations-of-minchat-chinukh-on-mishneh-torah/the-sanhedrin-and-the-penalties-within-their-jurisdiction	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	Annotations of Minchat Chinukh on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction
Annotations of Minchat Chinukh on Mishneh Torah, Things Forbidden on the Altar	annotations-of-minchat-chinukh-on-mishneh-torah/things-forbidden-on-the-altar	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות איסורי המזבח	Annotations of Minchat Chinukh on Mishneh Torah, Things Forbidden on the Altar
Annotations of Minchat Chinukh on Mishneh Torah, Those Who Defile Bed or Seat	annotations-of-minchat-chinukh-on-mishneh-torah/those-who-defile-bed-or-seat	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מטמאי משכב ומושב	Annotations of Minchat Chinukh on Mishneh Torah, Those Who Defile Bed or Seat
Annotations of Minchat Chinukh on Mishneh Torah, Torah Study	annotations-of-minchat-chinukh-on-mishneh-torah/torah-study	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות תלמוד תורה	Annotations of Minchat Chinukh on Mishneh Torah, Torah Study
Annotations of Minchat Chinukh on Mishneh Torah, Trespass	annotations-of-minchat-chinukh-on-mishneh-torah/trespass	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות מעילה	Annotations of Minchat Chinukh on Mishneh Torah, Trespass
Annotations of Minchat Chinukh on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein	annotations-of-minchat-chinukh-on-mishneh-torah/vessels-of-the-sanctuary-and-those-who-serve-therein	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות כלי המקדש והעובדין בו	Annotations of Minchat Chinukh on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein
Annotations of Minchat Chinukh on Mishneh Torah, Virgin Maiden	annotations-of-minchat-chinukh-on-mishneh-torah/virgin-maiden	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות נערה בתולה	Annotations of Minchat Chinukh on Mishneh Torah, Virgin Maiden
Annotations of Minchat Chinukh on Mishneh Torah, Vows	annotations-of-minchat-chinukh-on-mishneh-torah/vows	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות נדרים	Annotations of Minchat Chinukh on Mishneh Torah, Vows
Annotations of Minchat Chinukh on Mishneh Torah, Woman Suspected of Infidelity	annotations-of-minchat-chinukh-on-mishneh-torah/woman-suspected-of-infidelity	חידושים ומקורים מבעל מנחת חינוך על משנה תורה, הלכות סוטה	Annotations of Minchat Chinukh on Mishneh Torah, Woman Suspected of Infidelity
Annotations of R' Yeshaya Berlin on Mishneh Torah, Human Dispositions	annotations-of-r-yeshaya-berlin-on-mishneh-torah/human-dispositions	חידושים והגהות הגרי"ב על משנה תורה, הלכות דעות	Annotations of R' Yeshaya Berlin on Mishneh Torah, Human Dispositions
